Nr.   Classes Functions      NCSS  Javadocs Package
  1        39       243      1249       205 org.apache.commons.jxpath
  2         2         5        78         5 org.apache.commons.jxpath.functions
  3        11       170       983       117 org.apache.commons.jxpath.ri
  4        18       139      1204        64 org.apache.commons.jxpath.ri.axes
  5        42       318      2139       183 org.apache.commons.jxpath.ri.compiler
  6        16       290      1425       100 org.apache.commons.jxpath.ri.model
  7        20       201      1095        83 org.apache.commons.jxpath.ri.model.beans
  8         3        28       152         6 org.apache.commons.jxpath.ri.model.container
  9         9       107       854        43 org.apache.commons.jxpath.ri.model.dom
 10         5        36       229        22 org.apache.commons.jxpath.ri.model.dynabeans
 11         7        58       387        29 org.apache.commons.jxpath.ri.model.dynamic
 12         9       101       860        38 org.apache.commons.jxpath.ri.model.jdom
 13         7       293      4723        15 org.apache.commons.jxpath.ri.parser
 14        12        41       354        28 org.apache.commons.jxpath.servlet
 15        12        71       982        74 org.apache.commons.jxpath.util
 16         5        24       137        26 org.apache.commons.jxpath.xml
    --------- --------- --------- ---------
          217      2125     16851      1038 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    16.00    217.00   2125.00  16851.00   1038.00 | Project
              13.56    132.81   1053.19     64.88 | Package
                         9.79     77.65      4.78 | Class
                                   7.93      0.49 | Function

Nr. NCSS Functions Classes Javadocs Class
  1   96         6       0        1 org.apache.commons.jxpath.servlet.JXPathServletContextTest
  2   48         9       0        9 org.apache.commons.jxpath.BasicNodeSetTest
  3   66        12       3        1 org.apache.commons.jxpath.util.BasicTypeConverterTest
  4   83         9       1       11 org.apache.commons.jxpath.util.ClassLoaderUtilTest
  5    3         1       0        1 org.apache.commons.jxpath.util.ClassLoadingExampleClass
  6   23        10       0        4 org.apache.commons.jxpath.NestedTestBean
  7   67        18       0        4 org.apache.commons.jxpath.TestBean
  8  180        30       0        2 org.apache.commons.jxpath.JXPathTestCase
  9  146        31       0        2 org.apache.commons.jxpath.ri.JXPathCompiledExpressionTest
 10  163        13       0        1 org.apache.commons.jxpath.ri.axes.SimplePathInterpreterTest
 11   15         2       0        1 org.apache.commons.jxpath.ri.axes.RecursiveAxesTest
 12   20         6       0        1 org.apache.commons.jxpath.ri.axes.TestBeanWithNode
 13   18         7       0        1 org.apache.commons.jxpath.ri.axes.RecursiveBean
 14   30         1       1        1 org.apache.commons.jxpath.ri.StressTest
 15  189        41       0        3 org.apache.commons.jxpath.ri.model.MixedModelTest
 16   30        13       0        1 org.apache.commons.jxpath.ri.model.XMLPreserveSpaceTest
 17   27         2       0        2 org.apache.commons.jxpath.ri.model.dynamic.TestDynamicPropertyFactory
 18  112        19       0        3 org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest
 19  209        39       1        5 org.apache.commons.jxpath.ri.model.XMLModelTestCase
 20    7         3       0        1 org.apache.commons.jxpath.ri.model.ExceptionPropertyTestBean
 21  293        56       0        5 org.apache.commons.jxpath.ri.model.BeanModelTestCase
 22   30        13       0        1 org.apache.commons.jxpath.ri.model.XMLSpaceTest
 23   19         6       1        2 org.apache.commons.jxpath.ri.model.EmptyCollectionTest
 24   23         2       0        3 org.apache.commons.jxpath.ri.model.dynabeans.TestDynaBeanFactory
 25    5         2       0        1 org.apache.commons.jxpath.ri.model.dynabeans.DynaBeanModelTest
 26   61         4       3        1 org.apache.commons.jxpath.ri.model.container.ContainerModelTest
 27    8         3       0        1 org.apache.commons.jxpath.ri.model.beans.BeanModelTest
 28    5         1       0        1 org.apache.commons.jxpath.ri.model.beans.TestIndexedPropertyBean
 29   19         2       0        3 org.apache.commons.jxpath.ri.model.beans.TestBeanFactory
 30   13         2       1        1 org.apache.commons.jxpath.ri.model.beans.BadlyImplementedFactoryTest
 31   17         6       0        1 org.apache.commons.jxpath.ri.model.AliasedNamespaceIterationTest
 32   47         7       0        1 org.apache.commons.jxpath.ri.model.dom.DOMModelTest
 33   28         3       0        2 org.apache.commons.jxpath.ri.model.dom.TestDOMFactory
 34   32         2       0        2 org.apache.commons.jxpath.ri.model.TestMixedModelFactory
 35   29         3       0        2 org.apache.commons.jxpath.ri.model.jdom.TestJDOMFactory
 36   43         8       0        1 org.apache.commons.jxpath.ri.model.jdom.JDOMModelTest
 37   14         3       0        1 org.apache.commons.jxpath.ri.model.EmbeddedColonMapKeysTest
 38   25         9       0        1 org.apache.commons.jxpath.ri.model.ExternalXMLNamespaceTest
 39    3         1       0        1 org.apache.commons.jxpath.ri.compiler.TestFunctions2
 40   15         2       0        1 org.apache.commons.jxpath.ri.compiler.ContextDependencyTest
 41   83        21       0        1 org.apache.commons.jxpath.ri.compiler.VariableTest
 42   62        22       0        3 org.apache.commons.jxpath.ri.compiler.TestFunctions
 43   91         5       0        1 org.apache.commons.jxpath.ri.compiler.CoreOperationTest
 44  113         6       3        1 org.apache.commons.jxpath.ri.compiler.CoreFunctionTest
 45   28         2       0        3 org.apache.commons.jxpath.ri.compiler.VariableFactory
 46  132        19       1        1 org.apache.commons.jxpath.ri.compiler.ExtensionFunctionTest
 47   52        10       0        1 org.apache.commons.jxpath.TestMixedModelBean
 48   14         4       0        1 org.apache.commons.jxpath.TestNull
 49  137        46       0       47 org.apache.commons.jxpath.JXPathContext
 50    6         2       0        3 org.apache.commons.jxpath.JXPathTypeConversionException
 51   27         3       0        1 org.apache.commons.jxpath.servlet.ServletRequestHandler
 52   12         3       0        1 org.apache.commons.jxpath.servlet.PageScopeContextHandler
 53   14         4       0        2 org.apache.commons.jxpath.servlet.ServletContextHandler
 54   10         4       0        5 org.apache.commons.jxpath.servlet.PageScopeContext
 55   24         3       0        1 org.apache.commons.jxpath.servlet.HttpSessionHandler
 56   17         5       0        2 org.apache.commons.jxpath.servlet.KeywordVariables
