Nr.   Classes Functions      NCSS  Javadocs Package
  1        10         8        25         0 .
  2         1         1         3         0 doubler
  3         2         2        12         0 doubler.impl
  4         3         0         6         0 org
  5         6        12       205         0 org.concurrentmockito
  6        53       158       827        63 org.gradle
  7        41       305       609       282 org.gradle.api
  8        44       202       390       230 org.gradle.api.artifacts
  9         5        10        35        14 org.gradle.api.artifacts.cache
 10         6        11        30        17 org.gradle.api.artifacts.component
 11         5        31        64        36 org.gradle.api.artifacts.dsl
 12         2         6        18         8 org.gradle.api.artifacts.ivy
 13         9        62       136        67 org.gradle.api.artifacts.maven
 14         1         4        12         5 org.gradle.api.artifacts.query
 15         7        27        58        34 org.gradle.api.artifacts.repositories
 16        13        31        86        43 org.gradle.api.artifacts.result
 17         4         0        17         4 org.gradle.api.component
 18         2         5        16         7 org.gradle.api.distribution
 19         2         8        36         2 org.gradle.api.distribution.internal
 20         1         0         3         1 org.gradle.api.dsl
 21         5        17        36        20 org.gradle.api.execution
 22        20       145       301       146 org.gradle.api.file
 23         2        22        35        24 org.gradle.api.initialization
 24         1         8        18         9 org.gradle.api.initialization.dsl
 25        64       530      3296        63 org.gradle.api.internal
 26        47       247      1186         4 org.gradle.api.internal.artifacts
 27         2         2        16         0 org.gradle.api.internal.artifacts.component
 28        11        89       505         9 org.gradle.api.internal.artifacts.configurations
 29         1         6        15         0 org.gradle.api.internal.artifacts.configurations.dynamicversion
 30         9        83       372         1 org.gradle.api.internal.artifacts.dependencies
 31        10        47       358         1 org.gradle.api.internal.artifacts.dsl
 32         4        22       114         1 org.gradle.api.internal.artifacts.dsl.dependencies
 33        28       137      1134        16 org.gradle.api.internal.artifacts.ivyservice
 34         1         4        41         0 org.gradle.api.internal.artifacts.ivyservice.clientmodule
 35         5        15       118         0 org.gradle.api.internal.artifacts.ivyservice.dynamicversions
 36        29       129      1289        12 org.gradle.api.internal.artifacts.ivyservice.ivyresolve
 37         7        19       181         1 org.gradle.api.internal.artifacts.ivyservice.ivyresolve.memcache
 38        16       107      1721        28 org.gradle.api.internal.artifacts.ivyservice.ivyresolve.parser
 39         3        20        68         0 org.gradle.api.internal.artifacts.ivyservice.ivyresolve.parser.data
 40         9        60       279        15 org.gradle.api.internal.artifacts.ivyservice.ivyresolve.strategy
 41         9        43       382         1 org.gradle.api.internal.artifacts.ivyservice.modulecache
 42         7        10       102         0 org.gradle.api.internal.artifacts.ivyservice.moduleconverter
 43         9        29       189         1 org.gradle.api.internal.artifacts.ivyservice.moduleconverter.dependencies
 44         8        20       119         2 org.gradle.api.internal.artifacts.ivyservice.projectmodule
 45         8        53       321         2 org.gradle.api.internal.artifacts.ivyservice.resolutionstrategy
 46         9        24       489         9 org.gradle.api.internal.artifacts.ivyservice.resolveengine
 47         5        29       659        12 org.gradle.api.internal.artifacts.ivyservice.resolveengine.graph
 48         9        26       155        15 org.gradle.api.internal.artifacts.ivyservice.resolveengine.graph.conflicts
 49         7        40       244         0 org.gradle.api.internal.artifacts.ivyservice.resolveengine.oldresult
 50        14        43       482         1 org.gradle.api.internal.artifacts.ivyservice.resolveengine.result
 51         4        20       206         1 org.gradle.api.internal.artifacts.ivyservice.resolveengine.store
 52         1         2        30         0 org.gradle.api.internal.artifacts.metadata
 53         7        17       102         0 org.gradle.api.internal.artifacts.mvnsettings
 54         3        33       111         0 org.gradle.api.internal.artifacts.publish
 55         3        11       128         0 org.gradle.api.internal.artifacts.query
 56        11        61       370         2 org.gradle.api.internal.artifacts.repositories
 57         6        13        90        11 org.gradle.api.internal.artifacts.repositories.layout
 58        24       156      1009        10 org.gradle.api.internal.artifacts.repositories.resolver
 59         2        10        58         0 org.gradle.api.internal.artifacts.repositories.transport
 60        10        45       224         0 org.gradle.api.internal.artifacts.result
 61         1         5        21         0 org.gradle.api.internal.artifacts.result.jvm
 62        10        24       139         3 org.gradle.api.internal.cache
 63         2         7        15         6 org.gradle.api.internal.changedetection
 64         7        26       231         0 org.gradle.api.internal.changedetection.changes
 65        16        42       297         8 org.gradle.api.internal.changedetection.rules
