project_id,bug_id,class,method,ncss_class,ncss_method,ccn
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.AbstractCategoryItemRenderer(),586,7,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getPassCount(),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getPlot(),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setPlot(CategoryPlot),586,4,3
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getItemLabelGenerator(int,int,boolean)",586,5,2
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getSeriesItemLabelGenerator(int),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setSeriesItemLabelGenerator(int,CategoryItemLabelGenerator)",586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setSeriesItemLabelGenerator(int,CategoryItemLabelGenerator,boolean)",586,4,2
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getBaseItemLabelGenerator(),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setBaseItemLabelGenerator(CategoryItemLabelGenerator),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setBaseItemLabelGenerator(CategoryItemLabelGenerator,boolean)",586,4,2
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getToolTipGenerator(int,int,boolean)",586,6,2
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getSeriesToolTipGenerator(int),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setSeriesToolTipGenerator(int,CategoryToolTipGenerator)",586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setSeriesToolTipGenerator(int,CategoryToolTipGenerator,boolean)",586,4,2
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getBaseToolTipGenerator(),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setBaseToolTipGenerator(CategoryToolTipGenerator),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setBaseToolTipGenerator(CategoryToolTipGenerator,boolean)",586,4,2
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getURLGenerator(int,int,boolean)",586,5,2
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getSeriesURLGenerator(int),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setSeriesURLGenerator(int,CategoryURLGenerator)",586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setSeriesURLGenerator(int,CategoryURLGenerator,boolean)",586,4,2
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getBaseURLGenerator(),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setBaseURLGenerator(CategoryURLGenerator),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setBaseURLGenerator(CategoryURLGenerator,boolean)",586,4,2
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.addAnnotation(CategoryAnnotation),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.addAnnotation(CategoryAnnotation,Layer)",586,12,6
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.removeAnnotation(CategoryAnnotation),586,5,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.removeAnnotations(),586,4,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getLegendItemLabelGenerator(),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setLegendItemLabelGenerator(CategorySeriesLabelGenerator),586,5,3
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getLegendItemToolTipGenerator(),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setLegendItemToolTipGenerator(CategorySeriesLabelGenerator),586,3,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getLegendItemURLGenerator(),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.setLegendItemURLGenerator(CategorySeriesLabelGenerator),586,3,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getRowCount(),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getColumnCount(),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.createState(PlotRenderingInfo),586,12,3
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.initialise(Graphics2D,Rectangle2D,CategoryPlot,CategoryDataset,PlotRenderingInfo)",586,20,6
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.findRangeBounds(CategoryDataset),586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.findRangeBounds(CategoryDataset,boolean)",586,12,7
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getItemMiddle(Comparable,Comparable,CategoryDataset,CategoryAxis,Rectangle2D,RectangleEdge)",586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.drawBackground(Graphics2D,CategoryPlot,Rectangle2D)",586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.drawOutline(Graphics2D,CategoryPlot,Rectangle2D)",586,2,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.drawDomainLine(Graphics2D,CategoryPlot,Rectangle2D,double,Paint,Stroke)",586,15,7
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.drawRangeLine(Graphics2D,CategoryPlot,ValueAxis,Rectangle2D,double,Paint,Stroke)",586,15,5
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.drawDomainMarker(Graphics2D,CategoryPlot,CategoryAxis,CategoryMarker,Rectangle2D)",586,43,9
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.drawRangeMarker(Graphics2D,CategoryPlot,ValueAxis,Marker,Rectangle2D)",586,98,22
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.calculateDomainMarkerTextAnchorPoint(Graphics2D,PlotOrientation,Rectangle2D,Rectangle2D,RectangleInsets,LengthAdjustmentType,RectangleAnchor)",586,8,3
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.calculateRangeMarkerTextAnchorPoint(Graphics2D,PlotOrientation,Rectangle2D,Rectangle2D,RectangleInsets,LengthAdjustmentType,RectangleAnchor)",586,8,3
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getLegendItem(int,int)",586,29,9
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.equals(Object),586,29,27
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.hashCode(),586,3,1
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.getDrawingSupplier(),586,6,2
Chart,1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer,"org.jfree.chart.renderer.category.AbstractCategoryItemRenderer.updateCrosshairValues(CategoryCrosshairState,Comparable,Comparable,double,int,double,double,PlotOrientation)",586,8,5
