Nr.   Classes Functions      NCSS  Javadocs Package
  1        23       479      3822       502 org.jfree.chart
  2        20       239      1984       259 org.jfree.chart.annotations
  3        14        91      1121       109 org.jfree.chart.annotations.junit
  4        44       756      7252       850 org.jfree.chart.axis
  5        35       280      3904       314 org.jfree.chart.axis.junit
  6        21       215      1666       234 org.jfree.chart.block
  7        13        80      1313        92 org.jfree.chart.block.junit
  8         3        14       208        17 org.jfree.chart.demo
  9         9        71       847        80 org.jfree.chart.editor
 10         6        33       151        39 org.jfree.chart.encoders
 11        15       130       672       145 org.jfree.chart.entity
 12         8        38       471        46 org.jfree.chart.entity.junit
 13        20        43       186        63 org.jfree.chart.event
 14         7        18       121        25 org.jfree.chart.imagemap
 15         6        19       100        25 org.jfree.chart.imagemap.junit
 16        29       206      2413       271 org.jfree.chart.junit
 17        35       206      1447       241 org.jfree.chart.labels
 18        21       143      1455       164 org.jfree.chart.labels.junit
 19        10        64       523        74 org.jfree.chart.needle
 20        11        51       470        62 org.jfree.chart.needle.junit
 21         7        59       648        61 org.jfree.chart.panel
 22        46      1481     11958      1483 org.jfree.chart.plot
 23        16       276      1857       318 org.jfree.chart.plot.dial
 24        13        79      1147        92 org.jfree.chart.plot.dial.junit
 25        28       244      4397       272 org.jfree.chart.plot.junit
 26        15       319      1880       277 org.jfree.chart.renderer
 27        27       575      5695       603 org.jfree.chart.renderer.category
 28        25       228      2582       254 org.jfree.chart.renderer.category.junit
 29         9        57      1030        68 org.jfree.chart.renderer.junit
 30        35       714      6901       793 org.jfree.chart.renderer.xy
 31        30       243      3052       273 org.jfree.chart.renderer.xy.junit
 32         1         1         6         2 org.jfree.chart.resources
 33         3        22       186        25 org.jfree.chart.servlet
 34         9       100       860       109 org.jfree.chart.text
 35        10       199      1612       209 org.jfree.chart.title
 36        10        59       732        69 org.jfree.chart.title.junit
 37        12        76       557        93 org.jfree.chart.ui
 38        12        54       440        66 org.jfree.chart.urls
 39         8        45       496        53 org.jfree.chart.urls.junit
 40        44       352      2826       394 org.jfree.chart.util
 41        13        91      1208       101 org.jfree.chart.util.junit
 42        27       223      1500       250 org.jfree.data
 43        10       109       598       114 org.jfree.data.category
 44         5        60       695        65 org.jfree.data.category.junit
 45         4         9        43        13 org.jfree.data.event
 46         5        25       123        30 org.jfree.data.function
 47         5        29       214        34 org.jfree.data.function.junit
 48         6       135       633       135 org.jfree.data.gantt
 49         6        54       707        60 org.jfree.data.gantt.junit
 50        24       178      1470       202 org.jfree.data.general
 51         8        92      1077       100 org.jfree.data.general.junit
 52         1         6        66         7 org.jfree.data.io
 53         3        31       354        34 org.jfree.data.jdbc
 54        14       137      1790       153 org.jfree.data.junit
 55         7        44       205        46 org.jfree.data.pie
 56         6         6        36        12 org.jfree.data.resources
 57        18       277      1854       295 org.jfree.data.statistics
 58        14       115      1395       129 org.jfree.data.statistics.junit
 59        29       572      3636       606 org.jfree.data.time
 60        22       344      3336       371 org.jfree.data.time.junit
 61         4        47       226        51 org.jfree.data.time.ohlc
 62         5        37       401        42 org.jfree.data.time.ohlc.junit
 63         9        44       285        53 org.jfree.data.xml
 64        53       607      2966       655 org.jfree.data.xy
 65        35       324      3742       359 org.jfree.data.xy.junit
 66         1         4       100         5 org.jfree.experimental.chart.renderer.xy
 67         1        65       763        66 org.jfree.experimental.chart.swt
 68         4        13       338        17 org.jfree.experimental.chart.swt.demo
 69         8        40       750        45 org.jfree.experimental.chart.swt.editor
 70         3       101       628       104 org.jfree.experimental.swt
    --------- --------- --------- ---------
         1060     12178    110127     13280 Total

 Packages   Classes Functions      NCSS  Javadocs | per
-------------------------------------------------------------
    70.00   1060.00  12178.00 110127.00  13280.00 | Project
              15.14    173.97   1573.24    189.71 | Package
                        11.49    103.89     12.53 | Class
                                   9.04      1.09 | Function

 Nr. NCSS Functions Classes Javadocs Class
   1   87         4       0        5 org.jfree.experimental.chart.renderer.xy.XYSmoothLineAndShapeRenderer
   2  474        40       0       41 org.jfree.chart.ChartFactory
   3   79         5       0        6 org.jfree.chart.demo.TimeSeriesChartDemo1
   4   27         5       0        6 org.jfree.chart.demo.PieChartDemo1
   5   57         4       0        5 org.jfree.chart.demo.BarChartDemo1
   6   12         3       0        4 org.jfree.chart.ui.Licences
   7   17         4       0        5 org.jfree.chart.ui.FontDisplayField
   8   26         5       0        6 org.jfree.chart.ui.PaintSample
   9   38        12       0       13 org.jfree.chart.ui.Library
  10   10         3       0        4 org.jfree.chart.ui.Contributor
  11   73         6       0        7 org.jfree.chart.ui.FontChooserPanel
  12   16         3       0        4 org.jfree.chart.ui.ExtensionFileFilter
  13   78        14       1       20 org.jfree.chart.ui.BasicProjectInfo
  14   90         8       0        9 org.jfree.chart.ui.LCBLayout
  15   68         9       0       10 org.jfree.chart.ui.ProjectInfo
  16   16         3       1        4 org.jfree.chart.ui.StrokeChooserPanel
  17   41         6       0        7 org.jfree.chart.ui.StrokeSample
  18    2         1       0        2 org.jfree.chart.Drawable
  19    5         2       0        3 org.jfree.chart.imagemap.StandardURLTagFragmentGenerator
  20    2         1       0        2 org.jfree.chart.imagemap.URLTagFragmentGenerator
  21   75         7       0        8 org.jfree.chart.imagemap.ImageMapUtilities
  22    5         2       0        3 org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator
  23    2         1       0        2 org.jfree.chart.imagemap.ToolTipTagFragmentGenerator
  24   10         3       0        4 org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator
