target_class,project_id,bug_id
org.apache.commons.lang3.LocaleUtils,Lang,5
org.apache.commons.lang3.text.translate.CharSequenceTranslator,Lang,6
org.apache.commons.lang3.math.NumberUtils,Lang,7
org.apache.commons.lang3.time.FastDatePrinter,Lang,8
org.apache.commons.lang3.time.FastDateParser,Lang,9
org.apache.commons.lang3.time.FastDateParser,Lang,10
org.apache.commons.lang3.RandomStringUtils,Lang,11
org.apache.commons.math3.fraction.BigFraction,Math,1
org.apache.commons.math3.fraction.Fraction,Math,1
org.apache.commons.math3.distribution.HypergeometricDistribution,Math,2
org.apache.commons.math3.util.MathArrays,Math,3
org.apache.commons.math3.geometry.euclidean.threed.SubLine,Math,4
org.apache.commons.math3.geometry.euclidean.twod.SubLine,Math,4
org.apache.commons.math3.complex.Complex,Math,5
org.apache.commons.math3.optim.BaseOptimizer,Math,6
org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizer,Math,6
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer,Math,6
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizer,Math,6
org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizer,Math,6
org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizer,Math,6
org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizer,Math,6
org.apache.commons.math3.ode.AbstractIntegrator,Math,7
org.apache.commons.math3.distribution.DiscreteDistribution,Math,8
org.apache.commons.math3.geometry.euclidean.threed.Line,Math,9
org.apache.commons.math3.analysis.differentiation.DSCompiler,Math,10
org.mockito.internal.invocation.InvocationMatcher,Mockito,3
org.mockito.internal.invocation.InvocationMatcher,Mockito,1
