target_class,project_id,bug_id
org.apache.commons.codec.net.QuotedPrintableCodec,Codec,11
org.apache.commons.codec.language.Caverphone,Codec,10
org.apache.commons.codec.binary.Base64,Codec,9
org.apache.commons.collections4.trie.AbstractPatriciaTrie,Collections,28
org.apache.commons.collections4.map.MultiValueMap,Collections,27
org.apache.commons.collections4.keyvalue.MultiKey,Collections,26
org.apache.commons.collections4.IteratorUtils,Collections,25
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,Compress,47
org.apache.commons.compress.archivers.zip.X5455_ExtendedTimestamp,Compress,46
org.apache.commons.compress.archivers.tar.TarUtils,Compress,45
org.apache.commons.compress.utils.ChecksumCalculatingInputStream,Compress,44
org.apache.commons.compress.archivers.zip.ZipArchiveOutputStream,Compress,43
org.apache.commons.compress.archivers.zip.ZipArchiveEntry,Compress,42
org.apache.commons.compress.archivers.zip.ZipArchiveInputStream,Compress,41
org.apache.commons.compress.utils.BitInputStream,Compress,40
org.apache.commons.compress.utils.ArchiveUtils,Compress,39
org.apache.commons.compress.archivers.tar.TarArchiveEntry,Compress,38
org.apache.commons.csv.CSVParser,Csv,16
org.apache.commons.csv.CSVFormat,Csv,15
org.apache.commons.csv.CSVFormat,Csv,14
org.apache.commons.csv.CSVFormat,Csv,13
org.apache.commons.csv.CSVPrinter,Csv,13
org.apache.commons.csv.CSVFormat,Csv,12
org.apache.commons.csv.CSVParser,Csv,11
org.apache.commons.csv.CSVPrinter,Csv,10
org.apache.commons.csv.CSVRecord,Csv,9
org.apache.commons.csv.CSVFormat,Csv,8
org.apache.commons.csv.CSVParser,Csv,7
com.google.gson.internal.$Gson$Types,Gson,18
com.google.gson.DefaultDateTypeAdapter,Gson,17
com.google.gson.internal.$Gson$Types,Gson,16
com.google.gson.stream.JsonWriter,Gson,15
com.google.gson.internal.$Gson$Types,Gson,14
com.google.gson.stream.JsonReader,Gson,13
com.google.gson.internal.bind.JsonTreeReader,Gson,12
com.google.gson.internal.bind.TypeAdapters,Gson,11
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,Gson,10
